Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2016;579
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2015;568
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2014;384
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2013;544
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2012;762
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2011;661
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2010;662
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2009;733
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2008;1.108
Total Nacional;01 Andalucía;14 Córdoba;Vivienda protegida;2007;1.288
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2021;12.010
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2020;8.917
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2019;10.397
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2018;10.270
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2017;9.171
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2016;7.445
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2015;6.929
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2014;6.183
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2013;6.399
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2012;6.497
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2011;8.043
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2010;8.935
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2009;9.728
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2008;12.846
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2007;16.518
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2021;2.490
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2020;1.747
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2019;2.056
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2018;1.843
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2017;1.708
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2016;1.403
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2015;1.932
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2014;3.147
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2013;3.793
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2012;3.922
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2011;4.846
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2010;5.267
Total Nacional;01 Andalucía;18 Granada;Vivienda nueva;2009;5.850
